listing,price_in_usd,vendor,origin,destination,drug category,type of product,description,num_feedback,average_ rating
"1 x Capn Crunch, 1g Dank Cereal Carts, ** Various Flavours & Strains Available",40,thcdoctor42,US,worldwide,cannabis,cartridge,"NEW LISTING Brand new to The THC Doctors HQ are these new Dank Cereal Carts These cartridges are pre-filled with our premium C02 oil. They provide a clean, convenient and discreet way to vape. These cartridges are compatible with all 510 batteries. We utilize a full spectrum technique to ensure we capture all the natural cannabinoids and terpenes in each strain to pull out the unique characteristics of the strain. We never use any additives, cutting agents, flavorings or colorings.

With loads of flavours and strains to pick from, it is just like trying to choose your favourite cereal when you and the other half stand in Tescos arguing over who wants what sugary morning treat. Only these will make your morning routine FAR more fun!!
CAPN CRUNCH

Captain Crunch offers a sensational high. The strain in an indica dominant hybrid. The buds are quite frosty with tiny hairs seeping through their surface. The reason why it is called Captain Crunch is because it actually does smell like the cereal itself but with pine undertones. The taste is just about the same and is quite sweet at the same time. The strain offers an amazing body buzz and it will calm your senses in no time. Moreover, it is the perfect strain to medicate with if you are unable to relax. In a matter of minutes, you will feel the high set in and take control of your body and mind. Buy Capn Crunch Full 1g Cereal Cart Vape Cartridge from The THC Doctor today!",0,0
Promo Pack - 50g of RESTS of Weed -135 shipping included,148,flordevida,Spain,US,cannabis,other,"Promo Pack - 50g of RESTS of Weed -135— shipping included

Please read our conditions and politics carefully before buying.

This promo pack is about Rests of weed we have left from the bottom of the Jars, also when we manicured the weed. There you will find leaves, and small buds too.

This is best to use for extractions, oil, hash, tea, butter, vape and smoke too, as you can find buds there too.",1,5
"Dr Zodiak's Moonrock Clear 1g Cart + 1 Moonrock Battery, Various Options",50,thcdoctor42,US,worldwide,Synthetic cannabinoid,cartridge,"This listing is for a choice of 1 Moonrock Clear 1g vape cart and 1 Moonrock battery to use with it.

Cart options Choose from Lemon Original, Razzle Dazzle, Booby Blueês, Silverback OG or Lynwood Lemonade.

The batteries come is a choice of colours, Dark Blue, Green, Hot Pink, Light Blue, Purple, Red, Yellow",0,0
CHANGA (dmt/ harmaline 1:1) with track!,65,boomshankar,Mexico,Mexico,DMT,other,"HYPERSPACE TICKET. if u r looking for a nice way to try DMT, changa is the way, the blend of the finest herbs, with the extraction of harmaline that makes it easier to the dmt to get into your body, makes the full trip a spiritual experience. also u can smoke it any way u desire! no issues of crack pipe, or a vape or anything, as weed! also sprinkle it on your joint and enjoy the bliss!

made of 50%(500 mg in a gram of changa) white dmt, Psychotria viridis,Banisteriopsis caapi,Damiana californiana,wild dagga and harmaline. lots of love.",0,0
DANK VAPES,20,caligconnect,US,worldwide,cannabis,cartridge,DANK VAPE CARTRIDGES AVAILABLE WITH SEVERAL STRAINS _ Fruity Pebbles _ Apple Jacks _ Blackberry Kush _ Sour Diesel _ Mimosa _ Blue Dream _ Candy Land _ Diamond OG _ Chem dawg _ Banana OG _ Straw Apple _ Strawnana _ ATF _ Diablo OG _ Grape Ape _ Orange Diaqutri _ Gorilla Glue _ Mango Kush _ Jet Fuel OG _ Lemon Head _ King Louie _ Cherry Kush _ White Widow _ Skittles _ Key Lime Pie _ Mars OG _ Pineapple Express _ Hardcore OG _ Strawberry ~~~~~ _ Grape Stomper _ Lemon Slushie _ Purple Punch _ Lemon Berry _ White Rhino _ Gelato _ Wedding Cake _ Strawberry Shortcake,0,0
"1 x **BRAND NEW** Exotic Vape Carts, 4 New Flavours available. 100% SAFE CARTS",50,thcdoctor42,US,worldwide,cannabis,cartridge,"** BRAND NEW **

New to the ever-growing THC HQ are theses Exotic Vape Carts, these carts pack full on fruity flavours as well as thumping THC punch! Using a similar 510 thread carts to those at Mario Carts, we are pleased to offer these new carts in 4 flavours. Please note that not all flavours shown in image are currently in stock!

New Flavours include:

Sunset Sherbet (Hybrid) Wedding Cake (Indica) Skittles (Sativa) Purple Haze (Sativa)

PLEASE INCLUDE WHICH FLAVOUR YOU REQUIRE IN THE ORDER NOTES

Wedding cake

Wedding Cake, also known as Pink Cookies, is the familial genetic cross of Girl Scout Cookies and Cherry Pie. This delectable treat is rich with tangy sweet earth and pepper.

Sunset Sherbet

Heir to the GSC throne is Sherbert, also known as Sherbet and/or Sunset Sherbert, an indica-leaning hybrid with intoxicatingly potent effects. Crossed with an indica known as Pink Panties, Sherbert exhibits powerful full-body effects elevated by a jolt of cerebral energy.

Zkittlez

Zkittlez is an sativa-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored cannabis. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors.

These 1g cartridges are made from approx 90% plus Callifornian imported tetrahydrocannabinol (THC) Dewinterised triple distilled Distillate. This is the best of the best and can not be refined anymore (Trust me we have tried!)

We source our RAW product from a licensed lab in California, who work closely with independent, artisan growers. We add NO Vitamin D oil, MCT oil or pesticides or any other substances to our THC apart from 12% plant derived organic terpenes (which we also sell on the site). This is a natural plant based substance that will give each THC cart its flavor and smell

So that is a 88% THC to 12% Organic Terpense mix, that is it!! Our carts are 100% SAFE!!",0,0
BRAND NEW ** 1g Brass Knuckles THC Vape Carts,80,thcdoctor42,US,worldwide,cannabis,cartridge,"** BRAND NEW **

Here at THC HQ we have just taken stock of these brand new full 1g Brass Knuckles Carts, exactly the same flavours and high end carts as the regular 0.5g Brass carts, but now in the full 1g size. We have had many requests for these and are now pleased to introduce these to the Docês surgery!

Brass Knuckles OG cartridges provide you with 1g of super premium concentrate for the ultimate flavor experience at hand, with carts that connect with to 510 thread batteries and are made with superior Quartz.

Skywalker og (indica) GG4 (hybrid) Strawberry Cough Forbidden Fruits (hybrid) Gushers (hybrid) Jack Herer (sativa) Napalm (indica) Sour Diesel (sativa) Blue Dream (sativa) Do so dos (indica) Blueberry (indica) Tahoe OG (indica) Tangie (sativa) Banana (hybrid)",0,0
Topshelf Shatter - Oven Purged - UK CSCSHOP SOURCE,71,quicklickvendor,UK,worldwide,cannabis,concentrate,"We have on offer top shelf shatter made from Cali import flower, procured from a local CSC dispensary. Extracted here in the UK. This was done by a well known professional and is lovely to see the UK game coming on so strong.

Initially we werenêt going to stock UK extract but the game has really picked up and its clean and medicinal. So we decided to represent!

This product is great for making vape liquid, dabbing and making edibles. Really clean and top end flavor, packed with terpenes! It would actually be a shame not to smoke these bits!

The strain/s available on offer today:

1 . Lemon Tree - Extracted from Cali import flower 2. Tahoe OG - Extracted from Cali import flower 3. Wedding cake - Extracted from top end UK flower 4. Girl Scout cookies - Extracted from Cali import flower

Let me know which strain youêd like in the address field upon ordering. If no selection is made, one will be made at random. They are all top shelf.",0,0
"THC Vape 87% Pure, **VARIOUS NEW FLAVOURS NOW AVAILABLE**",200,thcdoctor42,US,worldwide,cannabis,cartridge,"These 1g Mario Cart cartridges are made from 97?lifornian import tetrahydrocannabinol (THC) Dewinterised triple distilled Distillate. This is the best of the best and can not be refined anymore (Trust me we have tried!) We add 8% authentic Canabis terpenes and 2% solution to this in order to draw it through the tank.

** Currently available in a selection of flavours: Lemon Sherblato (hybrid), Mai Thai (sativa), Biscotti (indica), Grape Topanga (sartiva), Billy Kimber (indica), White buffalo (sartiva)**

Renowned for fire grams and oil cartridges that are known for flavour and potency, Mario Cart are one of the industry leader in Super Premium cannabis oil products. Their aim is to speak to true concentrate connoisseurs by mastering the art of extraction, exclusively using top-shelf cannabis strains.

All of carts are lab tested to ensure delivery of the highest-quality products to patients. Mario Carts cartridges provide you with 1g of super premium concentrate for the ultimate flavour experience at hand. Our carts connect with 510 thread batteries and are made with superior Quartz.",0,0
"Mario Carts, THC Vape 87% Pure, **VARIOUS NEW FLAVOURS NOW AVAILABLE**",1400,thcdoctor42,US,worldwide,cannabis,cartridge,"These 1g Mario Cart cartridges are made from 97% Californian import tetrahydrocannabinol (THC) Dewinterised triple distilled Distillate. This is the best of the best and can not be refined anymore (Trust me we have tried!) We add 8% authentic Canabis terpenes and 2% solution to this in order to draw it through the tank.

** Currently available in a selection of flavours: Lemon Sherblato (hybrid), Mai Thai (sativa), Biscotti (indica), Grape Topanga (sartiva), Billy Kimber (indica), White buffalo (sartiva)**

Renowned for fire grams and oil cartridges that are known for flavour and potency, Mario Cart are one of the industry leader in Super Premium cannabis oil products. Their aim is to speak to true concentrate connoisseurs by mastering the art of extraction, exclusively using top-shelf cannabis strains. All of carts are lab tested to ensure delivery of the highest-quality products to patients. Mario Carts cartridges provide you with 1g of super premium concentrate for the ultimate flavour experience at hand. Our carts connect with 510 thread batteries and are made with superior Quartz.",0,0
Rove Tank 87% THC Grape/ Lemon/ Tangerine flavours available,150,thcdoctor42,US,worldwide,cannabis,cartridge,"Our products are made using 100% organically grown cannabis, sourced directly from trusted farms in our collective network. Using sub-critical liquid carbon dioxide, we extract a fine quality oil and refine it using only heat and pressure. The golden finished product is mixed with cannabis terpenes, natural terpenes, and fruit extracts for a truly special vaping experience.

Flavors & Effect

All Rove cannabis oils pass through a solvent-less purification system which gives rise to their clean, crisp flavors. Because their oils are so thick, it can be difficult to get full hits. But, if you preheat the oil, you should be able to get satisfyingly smooth, dense clouds. These carts work best with a push-button vape battery. Hold down the button for a few seconds before taking a draw.

Rove Carts are available in: Grape Ape (indica), Maui, lemon (sativa), Tangie (sativa), Skywalker (indica)

If your order is lost in transit, seized or has any delivery problem we will refund or try a reship to an alternative address.",0,0
"Heavy Hitters, 1g Cart, NEW PRODUCT, **Various Flavours Available**",200,thcdoctor42,US,worldwide,cannabis,cartridge,"NEW LISTING HEAVY HITTERS

New to The Docês THC HQ are these Heavy Hitters 1g carts.

Heavy Hitters is the ideal vape cartridge that gives smokers the best-tasting and most enjoyable high, with the delicate blend of terpenes and THC profile. The carts boast True Ceramic heating elements with Cold-Filtered distillate for a clean taste and potency. True Ceramic is a cartridge technology that yields none of the harmful wick components of standard cartridges, instead relying on a quality ceramic throughout the heating element to ensure no harmful byproducts, and an even dose. Heavy Hittersê use proprietary Cold Filtering technology that purifies the oil beyond standard distillation, resulting in a consistent, ultra-potent cannabis oil and an all round better vaping experience.

Heavy Hitters are available in a selection of flavours and strains, currently in stock we have: GORRILLA GLUE (indica), COOKIES AND CREAM (indica), SOUR DIESEL (sativa), PINEAPPLE EXPRESS (indica), BLUE DREAM (sativa)

If no flavor is selected and added to the order notes a random selection will be made by us and sent, to avoid any further delay. Please let us know any order specifics at time of order.",0,0
"Boo Berry, 1g Dank Cereal Carts, ** Various Flavours & Strains Available **",50,thcdoctor42,US,worldwide,cannabis,cartridge,"NEW LISTING** Brand new to The THC Doctors HQ are these new Dank Cereal Carts These cartridges are pre-filled with our premium C02 oil. They provide a clean, convenient and discreet way to vape. These cartridges are compatible with all 510 batteries. We utilize a full spectrum technique to ensure we capture all the natural cannabinoids and terpenes in each strain to pull out the unique characteristics of the strain. We never use any additives, cutting agents, flavorings or colorings.

With loads of flavours and strains to pick from, it is just like trying to choose your favourite cereal when you and the other half stand in Tescos arguing over who wants what sugary morning treat. Only these will make your morning routine FAR more fun!!
Boo Berry (blueberry Kush/ Afghan kush)

This incredible flavor, is a cross between Blueberry and Afghani cannabis extracts. Boo Berry is an Indica dominant hybrid. More to this, It taste like syrupy berries, while the aroma is more skunky earth, and pungent with a fragrant floral presence. It gives, a sedating relaxation and a slightly euphoric buzz and lasts a long time. Further, its high will draw you into a happy lift minus the anxious energy. Your body will sleep deeper into a calm, which can cause sedation and sleepiness. Specifically, This strain is advisory for people with stress and non-relaxation.",0,0
"1 x Boo Berry, 1g Dank Cereal Carts, ** Various Flavours & Strains Available *",50,thcdoctor42,US,worldwide,cannabis,cartridge,"NEW LISTING Brand new to The THC Doctors HQ are these new Dank Cereal Carts These cartridges are pre-filled with our premium C02 oil. They provide a clean, convenient and discreet way to vape. These cartridges are compatible with all 510 batteries. We utilize a full spectrum technique to ensure we capture all the natural cannabinoids and terpenes in each strain to pull out the unique characteristics of the strain. We never use any additives, cutting agents, flavorings or colorings.

With loads of flavours and strains to pick from, it is just like trying to choose your favourite cereal when you and the other half stand in Tescos arguing over who wants what sugary morning treat. Only these will make your morning routine FAR more fun!!
Boo Berry (blueberry Kush/ Afghan kush)

This incredible flavor, is a cross between Blueberry and Afghani cannabis extracts. Boo Berry is an Indica dominant hybrid. More to this, It taste like syrupy berries, while the aroma is more skunky earth, and pungent with a fragrant floral presence. It gives, a sedating relaxation and a slightly euphoric buzz and lasts a long time. Further, its high will draw you into a happy lift minus the anxious energy. Your body will sleep deeper into a calm, which can cause sedation and sleepiness. Specifically, This strain is advisory for people with stress and non-relaxation.",0,0
"90% Pure, 1g Dr Zodiaks Moonrock Clear Tank, Lemon Haze flavor",200,thcdoctor42,US,worldwide,cannabis,cartridge,"Dr. Zodiakês Moonrock Clear is a high end distillate that tests approximately 90%.

It is manufactured with a multi-step method of cannabis purification, infused with all natural terpenes. Whether you dabble in waxy concentrates, identify as a flower fanatic, or you fall somewhere in between, itês practically impossible to go wrong with Dr. Zodiakês Moonrock. Made with smokers of all levels in mind, Moonrocksê potency will get a seasoned smoker to the moon while easing in marijuana novices with unique flavor profiles derived from a mouthwatering mix of top shelf flowers, clear distillate, kief, and great-tasting all natural terpenes. And for those on the go, the good doctor has created Moonrock Clear, a brand of vape pens and cartridges that mix the great taste and potency of Moonrocks with peak portability. Now you can go to the moon any time, anywhere. In addition to the Moonrock line, Dr. Zodiak also offers some of the tastiest edibles around, including scrumptious cereal bars, brownies, and more. And for those who would rather wet their whistle, Dr. Zodiakês new Moonwalk syrup packs a 1,000 MG punch and is available in tantalizing Lemon Haze flavors. Since its launch back in 2013, the Dr. Zodiakês Moonrock brand has been at the cross-section of art and culture, with countless hip-hop heavy-hitters showing the company love, including Snoop Dogg, Cardi B, Travis Scott, Kodak Black, Rae Sremmurd, 2 Chainz, Lil Wayne, 21 Savage, and XXX Tentacion just to name a few. Clearly, the community was picking up what the good doctor was putting down.Today, the Dr. Zodiak brand continues to push the envelope by finding groundbreaking new ways to help patients medicate and find on-demand relief. Above all, the Dr. Zodiakês Moonrocks brand continues forging partnerships with artists and celebrities, ensuring that art, culture and creativity remain at the forefront of everything the company does.",0,0
**MIX-N-MATCH** KINGPENS / BRASS KNUCKLES / MARIO CARTS / DANK VAPES 1G CARTS **SPECIAL**,27,FUNKYFARMS,US,worldwide,cannabis,multiple,"GRAND OPENING SPECIAL

Mix-n-match between the available options; please let us know your preferences when making the order and we will do our best to accomodate. High quality THC distillate cartridges, sourced straight from the manufacturer.
Mario Carts

Animal Cookies, Gushers, Fire OG, Gelato, Gorilla Glue, Durban Poison, Ghost OG, Strawberry Pie, and Wedding Cake.
Dank Vapes

Orange Chai, Northern Lights, Cherry Pie, Green Crack, Grape Stomper, Gorilla Glue, Hardcore OG, Mars OG, Purple Punch, Sour Diesel, Pineapple Express, Grape Ape, Skittles, Jet Fuel OG, Cherry Kush, Black Berry Kush, Jack Herer, Fruity Pepples, Gelato, Apple Jacks, Chem Dawg, Lemon Head, Lemon Slush, Blue Dream, GDP ( Grand Daddy Purple), Candy Land, Girl Scout Cookies (GSC), Lemon Berry, Banana OG, Durban Poison, Strawberry Cough, Wedding Cake
Brass Knuckles

Blue Dream, Jack H, Maui, Sour Apple, Sour Diesel, Strawberry Cough, Tangie, Blueberry. Do-Si-Dos, Grape God, SFV OG, Skywalker OG, Tahoe OG, Banana OG, Frobidden Fruit, Gelato, GG4, GSC
Kingpen

Kingpen oil is made their own state-of-the-art manufacturing lab. It is distilled 5 times producing a high quality product that passes strict qualitative and quantitative tests. No PG, VG, PEG or other additives. Just the highest quality vape cartridges for the highest quality high. Their hardware maintains some of the lowest failure rates in the industry and our cartridges are engineered for smooth and consistent airflow.

Indicas: * King Louis OG * Purple Punch Hybrids; * Trainwreck * Banana Sherbert * Jilly Bean * 3 Kings Sativas: * Super Lemon Haze * Sour Diesel

****Please inquire about our new vendor special ****When ordering, please request indica/hybrid/sativa and flavor preference at the time of ordering. We will do our best to fulfill requests depending on stock. We can accomodate indica vs sativa vs hybrid requests always; the flavors may vary.",0,0
"BRAND NEW** 5g 99% potency THC Diamonds, Super Strong, Various flavours Availalble",200,thcdoctor42,US,worldwide,cannabis,concentrate,"We are very pleased to announce these new 99% potency THC Diamonds. Through our strong Californian distribution links we can now offer you lucky lot these BRAND NEW, SUPER STRONG, Cannabis Diamond to the THC Doctors Shop. Diamonds are made by using a series of chemical reactions to refine them. The exact process is kept a secret to the public, because theyêre trade secrets of manufacturers, this extraction is a guarded art form in the Cannabis world, not too dissimilar from when JC turned Water into Wine!

Meet cannabis diamonds, the most dazzling and potent concentrate in town. Cannabis diamonds are crystalline versions of isolated THCA. These bad boys are also SUPER potent, typically containing 99% THC.

Referred to as –the worldês strongest hash”, this crystalized extract is regarded as the most potent dab on the market. Refined by a series of chemical reactions all thatês left of the plant are pure isolates ã clear, compact little nuggets of THC-A which convert to THC when vaped or combusted. This means you will not get a psychoactive high from eating it in its raw form. At 99 to 100 percent potency diamonds are cannabis most potent form. Most flowers top out at about 25 percent THC. Concentrates are usually in the 70 to 90 percent range, so imagine smoking something at almost 100 percent.

Because of its sheer potency, the best way to make use of these crystalline concentrates is to mix them with other less potent cannabis flowers, treating it as a mixer, instead of smoking it pure. Itês also pure THCA, not THC, which means that you wonêt get high unless itês combusted or vaped, unlike many other concentrates in the market. The THCA content in cannabis diamonds is tetrahydrocannabinolic acid, the non-psychoactive precursor of THC. Only heat and combustion can speed up the process to turn it into THC (the same reason why you have to decarboxylate your cannabis before using it in edibles) Cannabis diamonds can also be dabbed, but because of its potency, it isnêt suitable for the lightweight and the wet blankets out there.

Crystalline or cannabis diamonds are versatile but if you want to experience new highs, smoking or dabbing it will take you to places you never thought possible! The only downside to cannabis diamonds is that making them is much more complicated than other kinds of concentrates, so only a few manufacturers have been able to successfully replicate it. So if you happen to come across these gems, itês definitely worth every penny.

Our next level diamonds come mixed in a terps flavoured sauce, all ready for you to vape",0,0
